Control.1	Control.2	Control.3	Colistin.1	Colistin.2	Colistin.3
EAV54_09540	19	24	12	18	26	30
EAV54_09545	28	10	22	16	16	16
EAV54_09550	120	98	94	88	126	106
EAV54_09555	1015	864	1199	945	1086	928
EAV54_09560	1482	1204	1347	1881	2086	1929
EAV54_09565	1063	784	1041	1298	1555	1483
EAV54_09570	0	0	0	0	0	0
EAV54_09575	0	0	0	0	0	0
EAV54_09580	0	0	0	0	0	0
EAV54_09585	0	1	0	0	0	0
EAV54_09590	0	0	0	0	0	0
EAV54_09595	472	470	502	509	512	516
EAV54_09600	2808	1948	2810	2841	3137	2763
EAV54_09605	1120	889	1023	1368	1637	1492
EAV54_09610	1815	1357	1817	2870	3224	2929
EAV54_09615	4635	3584	4511	8766	10623	8247
EAV54_09620	1427	1172	1465	1245	1361	1407
EAV54_09625	1827	1513	2204	1323	1155	1402
EAV54_09630	26	28	38	45	33	48
EAV54_09635	57	33	62	58	47	68
EAV54_09640	28815	26311	32954	13657	15065	14496
EAV54_09645	769	780	873	869	1024	946
EAV54_09650	1783	1014	1567	680	676	599
EAV54_09655	1916	1050	1545	433	489	456
EAV54_09660	5339	2956	4769	1322	1563	1241
EAV54_09665	4464	2456	3993	1124	1400	1027
EAV54_09670	3335	1759	2590	793	885	781
EAV54_09675	17067	9926	15936	3834	4505	3755
EAV54_09680	1437	704	1121	323	375	313
EAV54_09685	13787	7517	11652	3538	4072	3500
EAV54_09690	3581	1793	3197	1009	1159	1017
EAV54_09695	429	368	372	358	419	332
EAV54_09700	56	45	72	61	62	69
EAV54_09705	279	260	288	268	289	263
EAV54_09710	805	775	841	510	607	649
EAV54_09715	245	242	241	104	70	123
EAV54_09720	113	88	101	87	71	112
EAV54_09725	58	56	79	60	72	51
EAV54_09730	171	130	103	116	143	142
EAV54_09735	50	40	30	88	84	90
EAV54_09740	159	149	197	131	162	211
EAV54_09745	353	329	353	250	327	312
EAV54_09750	878	739	952	705	794	724
EAV54_09755	198	173	201	146	228	190
EAV54_09760	107	100	122	159	191	155
EAV54_09765	248	204	252	417	537	484
EAV54_09770	146	139	137	169	186	158
EAV54_09775	78	40	102	178	176	166
EAV54_09780	126	65	129	158	148	164
EAV54_09785	631	419	601	739	821	736
EAV54_09790	440	407	445	388	420	388
EAV54_09795	1090	1096	1372	724	712	735
EAV54_09800	890	832	772	818	1059	1015
EAV54_09805	931	739	944	979	980	1032
EAV54_09810	944	795	931	908	1024	1006
EAV54_09815	829	715	796	992	1095	1107
EAV54_09820	1176	904	1044	1353	1459	1530
EAV54_09825	745	570	762	808	907	929
EAV54_09830	1044	853	947	1256	1263	1479
EAV54_09835	1460	1041	1145	1272	1199	1259
EAV54_09840	1041	786	839	945	942	901
EAV54_09845	569	638	1169	362	259	306
EAV54_09850	721	597	891	625	578	617
EAV54_09855	1624	1453	1832	1337	1504	1518
EAV54_09860	1469	1482	1680	1242	1248	1378
EAV54_09865	631	598	940	321	198	261
EAV54_09870	581	492	606	520	571	627
EAV54_09875	407	419	543	1111	1212	1313
EAV54_09880	54	42	57	77	71	65
EAV54_09885	24	17	29	5	11	28
EAV54_09890	18	15	14	8	3	14
EAV54_09895	8039	6501	8669	6647	6161	6435
EAV54_09900	186	143	232	167	131	156
EAV54_09905	3392	2618	3814	4599	3930	4461
EAV54_09910	1434	1063	1402	1794	1692	1780
EAV54_09915	116	102	141	196	202	234
EAV54_09920	305	230	276	233	209	258
EAV54_09925	1023	807	1200	710	678	809
EAV54_09930	2172	1852	2548	1640	1668	1735
EAV54_09935	165	182	166	135	184	166
EAV54_09940	131	112	141	125	151	122
EAV54_09945	241	181	225	157	183	220
EAV54_09950	79	72	92	40	36	47
EAV54_09955	340	294	348	313	275	310
EAV54_09960	333	285	351	320	356	357
EAV54_09965	319	318	317	244	290	287
EAV54_09970	17	25	20	18	20	22
EAV54_09975	150	120	150	101	77	113
EAV54_09980	4	15	5	16	14	9
EAV54_09985	462	348	447	373	375	471
EAV54_09990	2199	1966	2645	1920	2271	2142
EAV54_09995	79	67	105	99	89	98
EAV54_10000	534	484	610	672	722	657
EAV54_10005	148	107	121	104	108	144
EAV54_10010	278	279	315	264	366	297
EAV54_10015	55	37	53	56	60	79
EAV54_10020	144	113	132	97	100	120
EAV54_10025	3996	3314	4198	2217	2352	2421
EAV54_10030	2	4	2	0	2	0
EAV54_10035	232	274	288	91	127	118
EAV54_10040	29	52	65	27	23	17
EAV54_10045	356	300	364	266	291	303
EAV54_10050	53	70	57	25	23	16
EAV54_10055	923	1107	1266	423	347	407
EAV54_10060	151	121	162	88	90	105
EAV54_10065	77	56	54	46	51	52
EAV54_10070	286	234	320	241	221	267
EAV54_10075	492	484	551	355	434	447
EAV54_10080	120	109	124	79	60	76
EAV54_10085	209	245	225	108	105	131
EAV54_10090	278	287	298	149	192	165
EAV54_10095	400	342	589	239	231	276
EAV54_10100	1357	854	984	1785	1713	1824
EAV54_10105	6026	5352	6843	9599	10027	9555
EAV54_10110	388	382	405	1360	1856	1402
EAV54_10115	236	196	234	603	765	619
EAV54_10120	651	727	829	494	490	438
EAV54_10125	277	292	387	251	265	282
EAV54_10130	4227	4091	4998	3798	4115	4279
EAV54_10135	918	844	1284	875	619	857
EAV54_10140	609	511	796	548	476	517
EAV54_10145	3264	2448	2756	2658	2768	2575
EAV54_10150	3979	3478	4101	2950	3585	3269
EAV54_10155	2492	2175	2644	2031	2396	2307
EAV54_10160	601	435	593	670	760	681
EAV54_10165	721	393	483	598	552	694
EAV54_10170	3294	2660	3545	4039	4838	4635
EAV54_10175	2959	2132	2849	3333	3656	3918
EAV54_10180	558	480	746	790	771	832
EAV54_10185	1206	1000	1199	1035	1248	1167
EAV54_10190	1364	1002	1218	1103	1268	1305
EAV54_10195	4740	3985	4718	4563	5555	4751
EAV54_10200	167	181	231	207	152	190
EAV54_10205	1659	1763	2374	1869	1708	2068
EAV54_10210	417	336	469	726	839	764
EAV54_10215	524	574	731	494	465	510
EAV54_10220	560	509	659	492	555	478
EAV54_10225	520	391	416	395	439	482
EAV54_10230	698	501	635	552	576	656
EAV54_10235	1403	1213	1746	1382	1297	1294
EAV54_10240	475	412	438	620	559	489
EAV54_10245	707	634	677	604	660	587
EAV54_10250	554	417	630	406	436	538
EAV54_10255	269	228	355	245	301	277
EAV54_10260	331	269	380	261	282	317
EAV54_10265	1251	1093	1464	798	998	1048
EAV54_10270	530	448	655	388	439	509
EAV54_10275	926	742	1074	649	664	813
EAV54_10280	294	203	249	177	171	215
EAV54_10285	105	91	72	39	54	55
EAV54_10290	345	241	286	116	143	131
EAV54_10295	1455	1027	1565	508	639	535
EAV54_10300	388	244	333	132	168	163
EAV54_10305	346	266	353	158	171	149
EAV54_10310	192	165	217	173	149	165
EAV54_10315	9063	9180	11154	10251	11629	10982
EAV54_10320	113	92	90	67	91	84
EAV54_10325	0	0	0	0	0	0
EAV54_10330	0	0	0	0	0	2
EAV54_10335	0	0	0	0	0	0
EAV54_10340	0	0	0	0	0	0
EAV54_10345	0	0	0	0	0	0
EAV54_10350	0	0	0	0	0	0
EAV54_10355	0	0	0	0	0	0
EAV54_10360	0	0	0	0	0	0
EAV54_10365	0	0	0	0	0	0
EAV54_10370	24	26	30	22	12	30
EAV54_10375	0	0	0	0	0	0
EAV54_10380	0	0	0	0	0	0
EAV54_10385	0	0	0	0	0	0
EAV54_10390	110	70	140	102	155	141
EAV54_10395	2	4	9	10	21	13
EAV54_10400	10	11	5	9	4	13
EAV54_10405	3	1	11	11	2	4
EAV54_10410	16	22	30	20	23	19
EAV54_10415	44	33	18	33	52	39
EAV54_10420	17	24	16	10	23	33
EAV54_10425	57	54	40	55	51	42
EAV54_10430	0	4	2	3	1	3
EAV54_10435	0	0	0	0	4	0
EAV54_10440	64	50	65	89	76	85
EAV54_10445	36	25	31	43	38	34
EAV54_10450	0	2	0	0	1	1
EAV54_10455	0	0	0	0	0	0
EAV54_10460	11	11	6	12	12	16
EAV54_10465	12	4	2	8	9	7
EAV54_10470	27	14	19	19	26	30
EAV54_10475	0	0	0	0	0	0
EAV54_10480	0	0	0	0	0	0
EAV54_10485	0	0	0	0	0	0
EAV54_10490	29	23	20	44	48	42
EAV54_10495	7	7	5	18	11	4
EAV54_10500	0	0	0	0	0	0
EAV54_10505	0	0	0	0	0	0
EAV54_10510	10	5	6	11	17	9
EAV54_10515	0	0	2	4	3	5
EAV54_10520	0	0	0	0	0	0
EAV54_10525	0	0	0	0	0	0
EAV54_10530	0	0	0	0	0	0
EAV54_10535	0	0	0	0	0	0
EAV54_10540	17	9	20	10	18	8
EAV54_10545	2	1	5	1	3	15
EAV54_10550	0	0	0	0	0	0
EAV54_10555	15	10	18	14	12	22
EAV54_10560	0	0	0	0	0	0
EAV54_10565	0	0	0	0	0	0
EAV54_10570	0	0	0	0	0	0
EAV54_10575	0	0	0	0	0	0
EAV54_10580	1685	1661	2254	1027	1226	1223
EAV54_10585	754	792	1011	634	583	631
EAV54_10590	334	405	413	1221	1259	1439
EAV54_10595	376	335	437	403	436	401
EAV54_10600	1508	1204	1689	1322	1365	1370
EAV54_10605	1398	1198	1598	1016	943	1094
EAV54_10610	3433	2910	3854	2370	2340	2535
EAV54_10615	18695	15806	18948	18820	20576	22595
EAV54_10620	8780	7325	9199	9113	9382	10269
EAV54_10625	369	268	353	768	877	743
EAV54_10630	299	228	311	726	894	781
EAV54_10635	4561	3851	4425	12066	13698	13025
EAV54_10640	6946	6497	8052	18123	18027	17772
EAV54_10645	5999	5754	7239	19112	19058	19070
EAV54_10650	519	442	641	571	511	530
EAV54_10655	340	284	411	331	329	374
EAV54_10660	117	160	144	134	139	163
EAV54_10665	220	187	233	181	219	217
EAV54_10670	2040	1826	2369	1782	1832	2139
EAV54_10675	1190	1065	1405	1362	1441	1473
EAV54_10680	86	55	60	98	75	107
EAV54_10685	1147	1005	1513	1850	1630	1700
EAV54_10690	1175	1029	1311	1530	1645	1594
EAV54_10695	543	450	545	708	696	699
EAV54_10700	1514	1352	1565	2025	2395	2295
EAV54_10705	157	116	143	177	170	207
EAV54_10710	1030	802	879	652	699	690
EAV54_10715	1349	1255	1604	1154	1153	1239
EAV54_10720	422	375	398	307	340	354
EAV54_10725	469	388	497	412	417	461
EAV54_10730	349	300	429	408	523	499
EAV54_10735	602	532	580	610	735	774
EAV54_10740	7955	7379	8940	7519	8762	8517
EAV54_10745	3321	3183	3764	3904	4255	4170
EAV54_10750	2772	2485	3130	3496	4084	4224
EAV54_10755	164	143	250	562	467	466
EAV54_10760	1016	804	922	1267	1299	1308
EAV54_10765	811	571	623	617	597	687
EAV54_10770	788	644	915	749	776	758
EAV54_10775	519	411	530	555	575	707
EAV54_10780	2085	1602	2541	1833	1309	1734
EAV54_10785	520	487	648	671	541	560
EAV54_10790	1171	973	1189	964	1004	1097
EAV54_10795	311	288	321	239	279	309
EAV54_10800	361	391	532	455	452	393
EAV54_10805	2096	1857	2321	2899	3056	3001
EAV54_10810	448	389	470	545	647	663
EAV54_10815	1910	1544	2124	1887	2041	2153
EAV54_10820	927	832	1127	1060	938	1135
EAV54_10825	1031	853	1142	1107	1222	1036
EAV54_10830	1488	1386	1636	1878	2216	2275
EAV54_10835	126	99	106	90	92	119
EAV54_10840	35070	31469	39280	28364	34631	32690
EAV54_10845	314	183	379	231	237	258
EAV54_10850	1823	1660	2217	1976	2126	1991
EAV54_10855	93	73	77	110	76	102
EAV54_10860	700	556	815	710	610	589
EAV54_10865	2880	2444	3023	2767	2742	2455
EAV54_10870	14328	15524	19837	7682	7890	7718
EAV54_10875	290	238	278	230	212	249
EAV54_10880	7808	6818	7968	5929	7616	7089
EAV54_10885	1033	924	1008	939	1223	1252
EAV54_10890	2197	1433	1842	2131	1908	1783
EAV54_10895	47	60	57	62	55	42
EAV54_10900	4251	3240	4231	4402	3969	4443
EAV54_10905	609	555	667	467	529	538
EAV54_10910	388	316	361	383	426	375
EAV54_10915	182	141	175	112	185	145
EAV54_10920	502	328	364	336	397	382
EAV54_10925	463	461	550	398	474	466
EAV54_10930	381	330	368	367	335	345
EAV54_10935	3036	3349	4263	2246	2343	2207
EAV54_10940	37	29	44	44	54	68
EAV54_10945	192	129	190	609	434	619
EAV54_10950	121	121	212	126	123	127
EAV54_10955	59	36	50	40	33	39
EAV54_10960	179	161	155	154	179	165
EAV54_10965	126	124	130	111	133	139
EAV54_10970	23	16	5	34	15	24
EAV54_10975	43	46	77	84	66	52
EAV54_10980	155	131	118	159	140	127
EAV54_10985	9319	9013	10186	4564	5277	4965
EAV54_10990	9106	7590	9817	7117	6176	7362
EAV54_10995	3855	3199	3661	3770	3970	3948
EAV54_11000	4866	4256	4961	4223	4322	4692
EAV54_11005	631	609	567	372	430	370
EAV54_11010	164	172	227	162	168	140
EAV54_11015	16	32	16	4	11	16
EAV54_11020	622	453	882	388	336	347
EAV54_11025	465	434	685	314	177	334
EAV54_11030	104	75	116	110	96	80
EAV54_11035	591	507	540	475	471	517
EAV54_11040	1370	1254	1624	1111	1156	1198
EAV54_11045	45	55	67	60	55	64
EAV54_11050	811	622	786	689	751	740
EAV54_11055	494	411	500	328	407	413
EAV54_11060	1056	798	1014	623	776	776
EAV54_11065	13326	11580	16988	8913	9349	8715
EAV54_11070	1083	891	1218	726	806	861
EAV54_11075	8154	4505	7324	1461	1987	1656
EAV54_11080	7924	4057	5997	1315	1872	1540
EAV54_11085	6160	3140	4482	1155	1261	1105
EAV54_11090	6071	3229	5430	839	906	856
EAV54_11095	2935	1560	2310	502	614	503
EAV54_11100	5032	2674	4152	914	1028	877
EAV54_11105	2243	1101	1582	423	498	330
EAV54_11110	2512	2220	2579	2076	2624	2373
EAV54_11115	99	90	116	72	90	98
EAV54_11120	187	153	213	163	108	177
EAV54_11125	1004	978	1267	6219	5327	5458
EAV54_11130	270	283	327	276	253	281
EAV54_11135	239	158	228	175	184	210
EAV54_11140	43	34	49	46	32	28
EAV54_11145	2592	2483	4051	982	1003	1163
EAV54_11150	2417	2188	2612	1806	2284	2113
EAV54_11155	6245	6260	7201	5020	5989	5914
EAV54_11160	2293	2186	2759	1891	2355	2400
EAV54_11165	207	190	254	234	252	207
EAV54_11170	550	523	601	585	628	641
EAV54_11175	2789	2296	2857	2536	2875	2901
EAV54_11180	2986	2595	3460	2651	3129	3010
EAV54_11185	1540	1376	1791	1402	1605	1578
EAV54_11190	20966	19261	24933	19184	22268	20447
EAV54_11195	3510	2835	4022	6312	6155	6255
EAV54_11200	3151	2698	3039	3145	3828	3789
EAV54_11205	413	411	479	546	661	670
EAV54_11210	499	443	526	564	666	658
EAV54_11215	5840	5460	7882	4676	4601	4839
EAV54_11220	1105	1039	1331	1652	1627	1702
EAV54_11225	537	520	490	367	445	390
EAV54_11230	50	25	40	20	25	28
EAV54_11235	109	61	113	82	96	101
EAV54_11240	164	157	204	165	145	179
EAV54_11245	84	77	105	196	197	206
EAV54_11250	41	38	67	67	50	62
EAV54_11255	102	68	105	117	120	116
EAV54_11260	39	22	12	19	30	16
EAV54_11265	1388	1191	1344	1413	1655	1650
EAV54_11270	148	107	156	178	195	181
EAV54_11275	269	196	253	182	181	204
EAV54_11280	618	555	703	495	581	568
EAV54_11285	140	90	126	91	99	91
EAV54_11290	2450	1383	1998	1019	1161	1158
EAV54_11295	9694	6387	8335	3904	4233	4196
EAV54_11300	4980	3379	4326	1934	2471	2248
EAV54_11305	4038	2682	3825	1545	1679	1726
EAV54_11310	4090	2724	3701	1368	1595	1520
EAV54_11315	192	140	139	106	116	106
EAV54_11320	490	213	353	95	131	90
EAV54_11325	2611	1227	2300	270	288	280
EAV54_11330	2582	1467	2367	582	718	626
EAV54_11335	483	433	555	261	252	291
EAV54_11340	1309	1035	1428	834	558	784
EAV54_11345	2568	2046	1806	631	906	795
EAV54_11350	2047	1615	1622	692	1057	816
EAV54_11355	53	27	21	11	11	15
EAV54_11360	687	578	692	431	446	545
EAV54_11365	392	417	458	275	315	303
EAV54_11370	140	126	162	150	160	186
EAV54_11375	61	45	56	30	50	67
EAV54_11380	75	86	72	63	64	71
EAV54_11385	29	26	28	43	43	44
EAV54_11390	32	23	22	30	42	40
EAV54_11395	39	22	22	11	20	38
EAV54_11400	8	2	1	12	13	17
EAV54_11405	16	4	12	27	22	49
EAV54_11410	74	52	73	119	189	180
EAV54_11415	0	0	0	0	1	0
EAV54_11420	0	0	0	0	0	0
EAV54_11425	172	85	196	122	131	163
EAV54_11430	74	68	81	68	58	100
EAV54_11435	76	103	104	47	76	56
EAV54_11440	98	81	97	78	104	97
EAV54_11445	52	39	55	52	59	42
EAV54_11450	21	28	27	28	23	21
EAV54_11455	162	148	132	114	166	126
EAV54_11460	2145	1806	2136	1557	1576	1607
EAV54_11465	5493	4986	6220	5025	5694	5120
EAV54_11470	625	531	580	564	730	649
EAV54_11475	115	79	73	60	86	58
EAV54_11480	6499	3969	6343	1726	1933	1758
EAV54_11485	3046	1775	2683	835	943	889
EAV54_11490	6840	3824	6396	2432	2475	2630
EAV54_11495	5427	3024	4440	1821	2209	2111
EAV54_11500	9	5	4	2	2	0
EAV54_11505	39	41	16	13	30	27
EAV54_11510	271	222	261	110	147	132
EAV54_11515	308	178	344	102	74	97
EAV54_11520	4824	2759	4659	1083	1222	1165
EAV54_11525	3949	2695	4545	1128	1185	1264
EAV54_11530	1327	835	1326	458	445	459
EAV54_11535	906	586	897	272	366	323
EAV54_11540	728	390	691	210	224	255
EAV54_11545	3	1	1	2	6	0
EAV54_11550	682	594	728	704	576	661
EAV54_11555	127	98	121	107	95	146
EAV54_11560	350	213	269	249	304	305
EAV54_11565	101	107	105	107	104	117
EAV54_11570	50	64	82	35	46	66
EAV54_11575	1470	967	1137	874	1141	967
EAV54_11580	752	598	730	536	661	612
EAV54_11585	1020	1096	1325	1019	1177	1118
EAV54_11590	65205	43677	42378	6720	10193	7191
EAV54_11595	3389	2405	3703	1330	999	931
EAV54_11600	27755	23370	27138	7134	8619	7005
EAV54_11605	155634	124933	147006	49103	60395	54179
EAV54_11610	27970	24655	30184	10673	10831	10530
EAV54_11615	699	493	551	241	269	216
EAV54_11620	595506	516486	652378	173910	186328	158533
EAV54_11625	77012	59759	68841	22188	24450	21253
EAV54_11630	2743	2296	2592	829	1029	913
EAV54_11635	1597	1464	2261	52	33	51
EAV54_11640	109	70	81	64	71	69
EAV54_11645	229	180	280	200	222	201
EAV54_11650	111	95	125	85	102	86
EAV54_11655	211	112	236	232	220	211
EAV54_11660	734	446	592	544	567	559
EAV54_11665	2397	1706	2341	1741	2143	1788
EAV54_11670	2380	1669	2386	1460	1705	1664
EAV54_11675	4568	2862	4437	3633	4644	4229
EAV54_11680	6000	3317	4710	3913	5290	4751
EAV54_11685	2241	1378	1966	1663	2151	1884
EAV54_11690	6818	3690	5084	4295	5857	5041
EAV54_11695	2453	1395	2112	1767	2155	1906
EAV54_11700	314	231	360	312	334	344
EAV54_11705	13938	9125	12620	13399	17607	15249
EAV54_11710	375	332	441	375	354	399
EAV54_11715	0	0	0	0	0	0
EAV54_11720	68	74	82	86	94	76
EAV54_11725	94	94	127	161	125	178
EAV54_11730	30	19	30	29	33	45
EAV54_11735	60	44	41	77	84	63
EAV54_11740	32	27	35	14	50	34
EAV54_11745	40	51	69	40	47	61
EAV54_11750	120	104	147	117	107	125
EAV54_11755	0	0	0	0	0	0
EAV54_11760	70	64	67	96	79	113
EAV54_11765	251	185	185	200	203	194
EAV54_11770	35	34	43	37	26	28
EAV54_11775	287	214	322	252	286	267
EAV54_11780	193	124	171	407	462	457
EAV54_11785	776	654	701	2013	2330	2182
EAV54_11790	307	306	414	2014	1977	1781
EAV54_11795	30	13	23	21	36	36
EAV54_11800	92	98	78	118	93	116
EAV54_11805	1224	975	1366	1359	1029	1193
EAV54_11810	563	509	738	809	597	701
EAV54_11815	348	345	535	535	314	457
EAV54_11820	319	219	398	1193	1102	1072
EAV54_11825	2367	2040	3128	5546	6081	5545
EAV54_11830	4185	3709	5190	10577	10754	9830
EAV54_11835	3233	2217	2777	7863	8888	8299
EAV54_11840	7692	6488	8465	16903	20653	16740
EAV54_11845	13929	11865	14769	27780	35422	29326
EAV54_11850	8038	6739	8110	15129	18992	16453
EAV54_11855	2934	2290	2998	5923	7381	6298
EAV54_11860	7081	5946	7903	13742	16193	13977
EAV54_11865	5682	5257	6663	10824	12930	11229
EAV54_11870	8344	6920	8512	13602	17110	14604
EAV54_11875	952	855	941	1541	1673	1490
EAV54_11880	13841	13108	16708	22348	29205	24611
EAV54_11885	9692	8573	11930	13386	15585	15472
EAV54_11890	723	619	778	944	1128	1129
EAV54_11895	92	116	133	121	105	115
EAV54_11900	49	48	62	53	72	77
EAV54_11905	74	55	73	71	84	78
EAV54_11910	244	199	231	197	145	185
EAV54_11915	107	107	89	82	113	108
EAV54_11920	10	3	13	11	6	16
EAV54_11925	46	29	58	82	90	96
EAV54_11930	129	69	112	67	129	90
EAV54_11935	503	445	647	472	417	487
EAV54_11940	135	81	146	101	119	125
EAV54_11945	103	122	118	174	152	165
EAV54_11950	47	34	42	25	26	20
EAV54_11955	2130	1890	2188	1119	931	1029
EAV54_11960	1293	1254	1449	969	892	960
EAV54_11965	1	0	0	0	0	0
EAV54_11970	0	0	0	0	0	0
EAV54_11975	0	0	0	0	0	0
EAV54_11980	0	0	0	0	0	0
EAV54_11985	0	0	0	0	1	0
EAV54_11990	0	0	0	0	0	0
EAV54_11995	0	0	0	0	0	0
EAV54_12000	0	0	0	0	0	0
EAV54_12005	0	0	0	0	0	0
EAV54_12010	0	0	0	0	0	0
EAV54_12015	0	0	0	0	0	0
EAV54_12020	0	0	0	0	0	0
EAV54_12025	0	0	0	0	0	0
EAV54_12030	0	0	0	0	0	0
EAV54_12035	0	0	0	0	0	0
EAV54_12040	0	0	0	0	0	0
EAV54_12045	0	0	0	0	0	0
EAV54_12050	0	0	0	0	0	1
EAV54_12055	0	0	0	0	0	0
EAV54_12060	0	0	0	0	0	0
EAV54_12065	0	0	0	0	0	0
EAV54_12070	0	0	0	0	0	0
EAV54_12075	0	0	0	0	0	0
EAV54_12080	0	0	0	0	0	0
EAV54_12085	0	0	0	0	0	0
EAV54_12090	0	0	0	0	0	1
EAV54_12095	0	0	0	0	0	0
EAV54_12100	2	0	0	1	4	1
EAV54_12105	2924	2487	3231	1929	2295	2251
EAV54_12110	331	278	453	299	330	312
EAV54_12115	80	47	61	68	93	66
EAV54_12120	71	58	70	65	94	72
EAV54_12125	55	46	58	57	48	57
EAV54_12130	47	44	52	47	64	59
EAV54_12135	11	5	8	3	9	11
EAV54_12140	2	0	5	1	1	4
EAV54_12145	2	2	2	5	4	4
EAV54_12150	124	82	165	92	83	84
EAV54_12155	71	67	102	67	56	63
EAV54_12160	232	205	235	214	219	216
EAV54_12165	19	17	12	10	14	15
EAV54_12170	46	30	58	47	32	51
EAV54_12175	7256	6165	5177	1139	1546	1218
EAV54_12180	625	504	636	365	491	463
EAV54_12185	13	3	15	13	17	10
EAV54_12190	57	57	27	48	42	40
EAV54_12195	0	0	0	0	0	0
EAV54_12200	1011	851	869	795	971	950
EAV54_12205	13368	11416	13569	13451	17616	16303
EAV54_12210	11743	9497	10192	11521	14668	14154
EAV54_12215	4268	3551	3918	4138	5279	4812
EAV54_12220	5932	4432	4260	4991	5975	5934
EAV54_12225	9115	7696	9893	7501	8719	8793
EAV54_12230	311	237	330	299	268	290
EAV54_12235	248	222	264	256	210	247
EAV54_12240	166	133	211	126	106	106
EAV54_12245	506	502	624	452	308	467
EAV54_12250	93	109	135	83	81	95
EAV54_12255	873	895	1106	157	103	110
EAV54_12260	37	31	14	31	27	24
EAV54_12265	339	322	388	428	436	492
EAV54_12270	81	52	77	76	59	80
EAV54_12275	550	546	684	453	530	447
EAV54_12280	648	682	929	163	188	148
EAV54_12285	315	293	360	137	155	140
EAV54_12290	17	20	18	18	12	21
EAV54_12295	37	30	34	24	38	19
EAV54_12300	0	0	0	0	0	0
EAV54_12305	0	0	0	0	0	0
EAV54_12310	1267	991	1094	1078	1289	1349
EAV54_12315	282	297	410	277	318	317
EAV54_12320	56	55	39	31	26	32
EAV54_12325	37	47	39	51	48	26
EAV54_12330	3794	3435	4087	3128	3619	3517
EAV54_12335	629	558	749	540	509	604
EAV54_12340	3189	2645	3266	2157	1984	2404
EAV54_12345	2195	1804	2181	7308	8828	8046
EAV54_12350	962	771	875	1105	1244	1150
EAV54_12355	12963	11010	13025	7304	9163	7924
EAV54_12360	180	130	198	113	132	148
EAV54_12365	228	169	226	137	165	159
EAV54_12370	1362	1307	1503	1160	1361	1444
EAV54_12375	1606	1386	1723	1243	1454	1543
EAV54_12380	1175	1072	1329	807	1009	1035
EAV54_12385	944	731	890	1554	1778	1705
EAV54_12390	1451	1110	1715	2552	2746	2719
EAV54_12395	1236	984	1110	1774	2059	2061
EAV54_12400	534	411	432	1477	1648	1603
EAV54_12405	1708	1536	1997	5297	6099	5490
EAV54_12410	649	547	676	464	480	440
EAV54_12415	1	0	0	0	0	1
EAV54_12420	14840	14151	17124	8148	8123	7068
EAV54_12425	70781	60520	89207	16924	15170	14826
EAV54_12430	128	84	69	97	43	85
EAV54_12435	230	204	194	307	337	327
EAV54_12440	68	63	66	63	74	72
EAV54_12445	1656	1403	1871	606	718	635
EAV54_12450	5544	4944	6609	2014	2180	2061
EAV54_12455	4846	3821	5659	1649	1007	1451
EAV54_12460	12079	10973	15098	930	874	909
EAV54_12465	40	63	35	31	35	35
EAV54_12470	50	52	54	33	41	43
EAV54_12475	1580	1216	1687	1718	1358	1885
EAV54_12480	1210	1198	1350	882	774	1118
EAV54_12485	5111	4335	4913	3295	3285	3693
EAV54_12490	100	112	164	77	65	89
EAV54_12495	103	104	139	82	90	102
EAV54_12500	27	17	26	14	12	22
EAV54_12505	6	5	20	16	10	29
EAV54_12510	337	364	448	293	324	308
EAV54_12515	240	218	303	261	233	243
EAV54_12520	241	154	233	182	217	241
EAV54_12525	506	460	584	605	596	682
EAV54_12530	20	26	38	20	25	25
EAV54_12535	1888	1655	2179	2136	1403	2000
EAV54_12540	857	769	880	1595	1502	1657
EAV54_12545	1251	1078	1081	1841	1811	1726
EAV54_12550	2547	2436	2616	2829	2710	2859
EAV54_12555	11536	10033	10086	5292	5815	5038
EAV54_12560	151	156	118	111	129	105
EAV54_12565	498	496	584	451	490	447
EAV54_12570	883	762	781	694	927	875
EAV54_12575	438	364	511	398	423	340
EAV54_12580	281	255	289	293	394	392
EAV54_12585	28	30	27	38	56	56
EAV54_12590	10	9	11	20	15	13
EAV54_12595	21	15	33	19	35	25
EAV54_12600	22	13	27	21	28	38
EAV54_12605	92	68	100	98	110	89
EAV54_12610	65	49	44	46	40	45
EAV54_12615	78	50	75	41	85	69
EAV54_12620	2321	2038	2459	2161	2589	2662
EAV54_12625	9484	7545	9406	8624	10120	10448
EAV54_12630	80110	74520	83075	87506	103551	99073
EAV54_12635	1674	1545	1756	1245	1281	1153
EAV54_12640	1793	1393	1812	1355	1436	1267
EAV54_12645	422	432	503	479	418	515
EAV54_12650	1158	991	1061	889	1111	927
EAV54_12655	16876	14307	18455	8917	8843	9415
EAV54_12660	5064	4512	7833	4398	3623	3946
EAV54_12665	154	121	156	122	137	134
EAV54_12670	669	548	659	691	749	779
EAV54_12675	1279	1218	1567	837	831	873
EAV54_12680	599	539	694	460	487	469
EAV54_12685	3267	2923	4259	2612	2915	2844
EAV54_12690	669	500	682	706	903	872
EAV54_12695	757	742	716	695	899	904
EAV54_12700	39	45	72	43	43	30
EAV54_12705	3319	3024	3699	2610	2931	3096
EAV54_12710	154	195	215	179	169	161
EAV54_12715	1257	1403	1915	1650	1615	1458
EAV54_12720	16677	11826	16393	16191	16624	18160
EAV54_12725	411	360	454	498	450	490
